epoch,bitfinex,bitstamp,coinapult
1547947744,3785.1,3697.94,3785.05
1547947750,3785.0,3697.94,3785.05
1547947756,3785.0,3697.94,3785.05
1547947762,3785.0,3697.94,3785.05
1547947768,3785.0,3697.94,3785.05
1547947774,3785.1,3697.94,3785.05
1547947780,3785.1,3697.94,3785.05
1547947786,3785.1,3697.94,3785.05
1547947792,3785.1,3697.94,3785.05
1547947798,3785.1,3697.94,3785.05
1547947804,3785.1,3697.55,3785.05
1547947810,3785.1,3697.55,3785.05
1547947816,3785.1,3697.55,3785.05
1547947822,3785.0,3697.55,3785.05
1547947828,3785.1,3697.55,3785.05
1547947834,3785.0,3697.55,3785.05
1547947839,3785.0,3697.55,3785.05
1547947845,3785.0,3697.55,3785.05
1547947852,3785.0,3697.55,3783.35
1547947858,3783.9,3697.55,3783.35
1547947864,3783.9,3697.55,3783.35
1547947870,3783.3,3697.55,3783.35
1547947876,3783.9,3697.55,3783.25
1547947881,3783.3,3696.60,3783.25
1547947887,3783.3,3696.71,3783.25
1547947893,3783.3,3696.71,3783.25
1547947899,3783.2,3696.71,3783.25
1547947906,3783.2,3696.71,3783.25
1547947912,3783.2,3696.71,3783.25
1547947918,3783.3,3696.71,3783.25
1547947924,3783.3,3696.71,3783.25
1547947930,3783.3,3696.71,3783.25
1547947936,3783.2,3696.71,3783.25
1547947942,3783.2,3696.71,3783.15
1547947949,3783.2,3697.76,3783.15
1547947954,3783.2,3697.76,3783.15
1547947960,3783.1,3697.92,3783.15
1547947966,3783.1,3696.80,3783.15
1547947972,3783.1,3696.71,3783.05
1547947978,3783.1,3696.71,3783.05
1547947984,3783.1,3696.32,3783.05
1547947990,3782.3,3696.32,3783.05
1547947996,3782.3,3696.32,3784.1
1547948002,3782.3,3696.32,3784.1
1547948008,3784.1,3696.32,3784.15
1547948014,3784.1,3696.46,3784.15
1547948020,3784.1,3696.46,3784.15
1547948026,3784.1,3696.46,3784.15
1547948032,3784.1,3696.46,3784.15
1547948038,3784.1,3696.46,3784.15
1547948044,3784.1,3696.46,3784.15
1547948050,3784.2,3696.89,3784.15
1547948056,3784.2,3696.89,3784.15
1547948062,3784.1956482,3696.89,3784.15
1547948068,3784.2,3696.89,3784.15
1547948074,3784.1956482,3696.89,3784.15
1547948080,3784.1956482,3696.89,3784.15
1547948086,3784.1956482,3696.89,3784.15
1547948093,3784.1,3696.89,3784.15
1547948099,3784.1,3696.89,3784.15
1547948104,3784.1956482,3696.89,3784.15
1547948110,3784.1956482,3696.89,3784.15
1547948116,3784.1956482,3696.89,3784.15
1547948122,3784.1956482,3696.89,3784.15
1547948128,3784.2,3696.89,3784.15
1547948135,3784.2,3696.89,3784.15
1547948141,3784.2,3696.89,3784.15
1547948146,3784.2,3697.25,3784.15
1547948152,3784.2,3697.28,3784.15
1547948160,3784.2,3699.63,3788.55
1547948166,3788.5,3699.63,3788.55
1547948172,3788.5,3699.63,3787.55
1547948178,3788.5,3699.63,3787.55
1547948184,3788.5,3699.63,3786.85
1547948189,3788.5,3698.00,3786.6
1547948196,3786.9,3698.00,3786.6
1547948202,3786.9,3698.00,3789.35
1547948208,3789.7,3698.00,3789.35
1547948214,3788.6,3698.00,3788.55
1547948220,3788.6,3699.35,3788.55
1547948226,3788.6,3699.35,3788.55
1547948232,3788.6,3699.35,3787.95
1547948238,3788.5,3699.35,3786.85
1547948244,3788.5,3699.35,3786.85
1547948250,3786.8,3699.35,3786.85
1547948256,3786.8,3699.35,3786.85
1547948262,3786.8,3699.35,3786.85
1547948268,3786.8,3699.35,3786.85
1547948274,3786.8,3699.35,3796.05
1547948279,3796.0,3699.35,3796.05
1547948285,3796.0,3699.35,3789.75
1547948291,3789.7,3699.35,3788.05
1547948297,3788.0,3699.35,3788.05
1547948303,3789.7,3699.35,3788.05
1547948309,3788.0,3699.35,3788.05
1547948315,3788.0,3699.79,3788.05
1547948321,3788.0,3699.79,3788.05
1547948327,3788.0,3699.79,3788.05
1547948333,3788.0,3699.79,3788.05
1547948339,3788.0,3699.79,3788.05
1547948345,3788.0,3699.79,3788.05
1547948351,3788.0,3699.79,3788.05
1547948356,3788.0,3699.79,3788.05
1547948363,3788.0,3699.79,3788.05
1547948369,3788.0,3699.79,3788.05
1547948375,3788.0,3699.79,3788.05
1547948381,3788.0,3699.79,3788.05
1547948387,3788.1,3699.79,3788.05
1547948392,3788.1,3699.79,3788.05
1547948398,3788.0,3699.79,3788.05
1547948404,3788.0,3699.79,3788.05
1547948410,3788.0,3699.79,3788.05
1547948416,3788.0,3699.79,3788.05
1547948423,3788.0,3699.79,3788.05
1547948429,3788.0,3699.79,3788.05
1547948434,3788.0,3699.79,3788.05
1547948440,3788.0,3699.79,3788.05
1547948447,3788.0,3699.79,3788.05
1547948453,3788.0,3699.79,3788.05
1547948458,3788.0,3699.34,3788.05
1547948466,3788.0,3699.34,3788.05
1547948472,3788.0,3699.34,3788.05
1547948478,3788.0,3701.68,3788.05
1547948484,3788.0,3701.68,3790.15
1547948491,3790.7,3701.68,3790.15
1547948497,3790.7,3701.68,3790.15
1547948503,3790.2,3701.68,3790.15
1547948509,3790.2,3701.15,3790.15
1547948515,3790.2,3701.15,3790.15
1547948521,3790.1,3701.15,3790.15
1547948527,3790.1,3701.15,3789.9
1547948533,3790.1,3701.15,3789.9
1547948540,3789.9330216,3701.15,3789.95
1547948545,3789.9330216,3698.88,3789.95
1547948553,3789.9330216,3698.88,3792.5
1547948559,3789.9330216,3698.88,3791.35
1547948566,3791.4,3698.88,3791.35
1547948571,3791.4,3698.88,3790.25
1547948578,3790.3,3702.64,3789.6
1547948585,3790.3,3702.64,3789.6
1547948591,3789.2,3702.64,3789.35
1547948597,3789.2,3702.64,3788.85
1547948603,3789.0,3702.64,3788.85
1547948609,3789.0,3702.64,3789.35
1547948615,3789.0,3703.27,3789.35
1547948621,3789.1,3703.27,3789.15
1547948627,3789.1,3703.27,3789.15
1547948633,3789.1,3703.27,3789.15
1547948639,3789.1,3703.27,3789.15
1547948645,3789.1,3703.27,3789.15
1547948650,3789.1,3703.27,3789.15
1547948657,3789.19954327,3703.27,3789.15
1547948662,3789.19954327,3703.27,3789.15
1547948668,3789.19954327,3703.27,3789.15
1547948674,3789.1,3703.27,3789.15
1547948680,3789.19954327,3703.27,3789.15
1547948686,3789.1,3700.92,3789.15
1547948692,3789.1,3700.92,3789.15
1547948698,3789.1,3700.92,3789.15
1547948704,3789.1,3700.92,3789.15
1547948710,3789.1,3700.92,3789.15
1547948716,3789.1,3703.03,3789.15
1547948722,3789.1,3701.06,3789.15
1547948729,3789.1,3701.06,3789.15
1547948734,3789.1,3701.06,3789.15
1547948741,3789.1,3701.06,3789.15
1547948746,3789.1,3701.06,3789.15
1547948752,3789.1,3701.06,3789.15
1547948758,3789.1,3701.06,3789.15
1547948764,3789.1,3701.06,3789.15
1547948770,3789.1,3701.06,3789.15
1547948777,3789.1,3701.06,3789.15
1547948782,3789.1,3701.06,3789.15
1547948789,3789.1,3701.06,3789.15
1547948794,3789.1,3701.06,3789.15
1547948800,3789.1,3701.06,3789.15
1547948806,3789.1,3701.07,3789.15
1547948812,3789.1,3701.07,3789.15
1547948818,3789.1,3701.07,3789.15
1547948824,3789.1,3701.07,3789.15
1547948830,3789.1,3701.07,3789.15
1547948836,3789.19954327,3701.07,3789.15
1547948842,3789.1,3701.07,3789.15
1547948848,3789.1,3701.07,3789.15
1547948865,3789.1,3700.48,3789.15
1547948881,3789.1,3700.48,3789.15
1547948908,3789.1,3700.48,3789.15
1547948915,3789.1,3700.37,3789.15
1547948921,3789.1,3701.17,3789.15
1547948926,3789.1,3700.48,3789.15
1547948933,3789.1,3700.48,3789.15
1547948939,3789.1,3700.48,3789.15
1547948945,3789.1,3700.48,3788.4
1547948951,3788.6,3700.48,3788.4
1547948957,3788.6,3700.48,3788.25
1547948963,3788.6,3700.48,3788.25
1547948969,3788.1,3700.71,3787.85
1547948975,3788.1,3700.71,3787.45
1547948981,3788.1,3700.71,3787.45
1547948987,3787.5,3700.71,3787.45
1547948993,3787.45717694,3700.71,3787.45
